,Source,Target,Weight
1973,Odin,Ring,2.0
1980,Hermod,Hel,2.0
1981,Hermod,Hall,2.0
1982,Hel,Asas,2.0
1983,Hel,Hall,2.0
1984,Odin,Fulla,2.0
1985,Frigg,Fulla,2.0
1992,Odin,Fire,2.0
1994,Loke,Sea,2.0
1995,Loke,Vale,2.0
1997,Vale,Wolf,2.0
1998,Vale,Brother,2.0
2000,Nare,Narfe,2.0
2003,Narfe,Asas,2.0
2005,Skade,Serpent,2.0
2007,Ragnarok,Chapter,2.0
2008,Ragnarok,Har,2.0
2013,Sisters,Children,2.0
2014,Sisters,Hard,2.0
2015,Sisters,World,2.0
2019,Hard,World,2.0
2026,Fenris-wolf,Earth,2.0
2034,Odin,Ash,2.0
2038,Tyr,Thor,2.0
2039,Vidar,Foot,2.0
2041,Loke,World,2.0
2042,Prophecy,Head,2.0
2045,Surt,Odin,2.0
2046,Surt,Vidar,2.0
2047,Surt,Way,2.0
2048,Midgard,Serpent,2.0
2049,Midgard,Earth,2.0
2050,Edda,Name,2.0
2051,Surt,God,2.0
2052,Hvergelmer,Ganglere,2.0
2053,Vidar,Fire,2.0
2054,Vale,Fire,2.0
2057,Fenris-wolf,Vidar,2.0
2058,Vidar,Gods,2.0
2074,Æger,Hler,2.0
2078,Hler,Journey,2.0
2079,Hler,Asgard,2.0
2080,Thor,Heimdal,2.0
2081,Thor,Forsete,2.0
2082,Thor,Asynjes,2.0
2083,Njord,Heimdal,2.0
2084,Njord,Brage,2.0
2085,Njord,Vale,2.0
2086,Njord,Uller,2.0
2087,Njord,Forsete,2.0
2088,Frey,Tyr,2.0
2089,Frey,Vale,2.0
2090,Frey,Uller,2.0
2091,Frey,Forsete,2.0
2092,Frey,Gefjun,2.0
2093,Frey,Idun,2.0
2094,Tyr,Heimdal,2.0
2095,Tyr,Brage,2.0
2096,Tyr,Uller,2.0
2097,Tyr,Forsete,2.0
2098,Tyr,Loke,2.0
2099,Tyr,Asynjes,2.0
2100,Tyr,Frigg,2.0
2101,Tyr,Freyja,2.0
2102,Tyr,Gefjun,2.0
2103,Tyr,Idun,2.0
2104,Heimdal,Brage,2.0
2105,Heimdal,Vale,2.0
2106,Heimdal,Uller,2.0
2107,Vidar,Forsete,2.0
2108,Vidar,Asynjes,2.0
2109,Vidar,Frigg,2.0
